Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
A1BG	q13.43	Minus	chr19	58345178	58353499	Protein coding	Alpha-1-B Glycoprotein
A1BG-AS1	q13.43	Plus	chr19	58347751	58355183	Non-protein coding RNA	A1BG Antisense RNA 1
A1CF	q11.23	Minus	chr10	50799409	50885675	Protein coding	APOBEC1 Complementation Factor
A2M	p13.31	Minus	chr12	9067664	9116229	Protein coding	Alpha-2-macroglobulin
A2M-AS1	p13.31	Plus	chr12	9065177	9068060	Non-protein coding RNA	A2M Antisense RNA 1 (head To Head)
A2ML1	p13.31	Plus	chr12	8822472	8887001	Protein coding	Alpha-2-macroglobulin Like 1
A2ML1-AS1	p13.31	Minus	chr12	8776219	8830947	Non-protein coding RNA	A2ML1 Antisense RNA 1
A2ML1-AS2	p13.31	Minus	chr12	8819816	8820713	Non-protein coding RNA	A2ML1 Antisense RNA 2
A2MP1	p13.31	Minus	chr12	9228533	9275817	Pseudogene	Alpha-2-macroglobulin Pseudogene 1
A3GALT2	p35.1	Minus	chr1	33306766	33321098	Protein coding	Alpha 1,3-galactosyltransferase 2
A4GALT	q13.2	Minus	chr22	42692112	42721298	Protein coding	Alpha 1,4-galactosyltransferase (P Blood Group)
A4GNT	q22.3	Minus	chr3	138123718	138132387	Protein coding	Alpha-1,4-N-acetylglucosaminyltransferase
AAAS	q13.13	Minus	chr12	53307456	53324864	Protein coding	Aladin WD Repeat Nucleoporin
AACS	q24.31	Plus	chr12	125065379	125143333	Protein coding	Acetoacetyl-CoA Synthetase
AACSP1	q35.3	Minus	chr5	178764861	178818435	Pseudogene	Acetoacetyl-CoA Synthetase Pseudogene 1
AADAC	q25.1	Plus	chr3	151814037	151828488	Protein coding	Arylacetamide Deacetylase
AADACL2	q25.1	Plus	chr3	151733916	151761339	Protein coding	Arylacetamide Deacetylase Like 2
AADACL2-AS1	q25.1	Minus	chr3	151751443	151765669	Non-protein coding RNA	AADACL2 Antisense RNA 1
AADACL3	p36.21	Plus	chr1	12716115	12728759	Protein coding	Arylacetamide Deacetylase Like 3
AADACL4	p36.21	Plus	chr1	12644547	12667086	Protein coding	Arylacetamide Deacetylase Like 4
AADACP1	q25.1	Plus	chr3	151770428	151784894	Pseudogene	Arylacetamide Deacetylase Pseudogene 1
AADAT	q33	Minus	chr4	170060222	170091699	Protein coding	Aminoadipate Aminotransferase
AAED1	q22.33	Minus	chr9	96639577	96655303	Protein coding	AhpC/TSA Antioxidant Enzyme Domain Containing 1
AAGAB	q23	Minus	chr15	67201033	67255195	Protein coding	Alpha And Gamma Adaptin Binding Protein
AAK1	p13.3	Minus	chr2	69457997	69674349	Protein coding	AP2 Associated Kinase 1
AAMDC	q14.1	Plus	chr11	77821109	77918432	Protein coding	Adipogenesis Associated Mth938 Domain Containing
AAMP	q35	Minus	chr2	218264123	218270257	Protein coding	Angio Associated Migratory Cell Protein
AANAT	q25.1	Plus	chr17	76453351	76470117	Protein coding	Aralkylamine N-acetyltransferase
AAR2	q11.23	Plus	chr20	36236459	36270918	Protein coding	AAR2 Splicing Factor Homolog
AARD	q24.11	Plus	chr8	116938199	116944487	Protein coding	Alanine And Arginine Rich Domain Containing Protein
AARS	q22.1	Minus	chr16	70252295	70289543	Protein coding	Alanyl-tRNA Synthetase
AARS2	p21.1	Minus	chr6	44299654	44313326	Protein coding	Alanyl-tRNA Synthetase 2, Mitochondrial
AARSD1	q21.31	Minus	chr17	42950526	42964498	Protein coding	Alanyl-tRNA Synthetase Domain Containing 1
AARSP1	q28.3	Plus	chr4	132592084	132592536	Pseudogene	Alanyl-tRNA Synthetase Pseudogene 1
AASDH	q12	Minus	chr4	56338287	56387508	Protein coding	Aminoadipate-semialdehyde Dehydrogenase
AASDHPPT	q22.3	Plus	chr11	106075501	106098710	Protein coding	Aminoadipate-semialdehyde Dehydrogenase-phosphopantetheinyl Transferase
AASS	q31.32	Minus	chr7	122075647	122144280	Protein coding	Aminoadipate-semialdehyde Synthase
AATBC	q22.3	Minus	chr21	43805758	43812567	Non-protein coding RNA	Apoptosis Associated Transcript In Bladder Cancer
AATF	q12	Plus	chr17	36948875	37056871	Protein coding	Apoptosis Antagonizing Transcription Factor
AATK	q25.3	Minus	chr17	81117295	81166077	Protein coding	Apoptosis Associated Tyrosine Kinase
ABALON	q11.21	Plus	chr20	31721507	31723409	Non-protein coding RNA	Apoptotic BCL2L1-antisense Long Non-coding RNA
ABAT	p13.2	Plus	chr16	8674565	8784575	Protein coding	4-aminobutyrate Aminotransferase
