Gene.name	Gene.stable.ID	HGNC.ID	NCBI.gene.ID	UniProtKB.Swiss.Prot.ID	MIM.gene.accession
A1BG	ENSG00000121410	HGNC:5	1	P04217	138670
A1CF	ENSG00000148584	HGNC:24086	29974	Q9NQ94	NA
A2M	ENSG00000175899	HGNC:7	2	P01023	103950
A2ML1	ENSG00000166535	HGNC:23336	144568	A8K2U0	610627
A3GALT2	ENSG00000184389	HGNC:30005	127550	U3KPV4	NA
A4GALT	ENSG00000128274	HGNC:18149	53947	Q9NPC4	607922
A4GNT	ENSG00000118017	HGNC:17968	51146	Q9UNA3	616709
AAAS	ENSG00000094914	HGNC:13666	8086	Q9NRG9	605378
AACS	ENSG00000081760	HGNC:21298	65985	Q86V21	614364
AADAC	ENSG00000114771	HGNC:17	13	P22760	600338
AADACL2	ENSG00000261846	HGNC:24427	344752	Q6P093	NA
AADACL3	ENSG00000188984	HGNC:32037	126767	Q5VUY0	NA
AADACL4	ENSG00000204518	HGNC:32038	343066	Q5VUY2	NA
AADAT	ENSG00000109576	HGNC:17929	51166	Q8N5Z0	611754
AAED1	ENSG00000158122	HGNC:16881	195827	Q7RTV5	NA
AAGAB	ENSG00000103591	HGNC:25662	79719	Q6PD74	614888
AAK1	ENSG00000115977	HGNC:19679	22848	Q2M2I8	616405
AAMDC	ENSG00000087884	HGNC:30205	28971	Q9H7C9	NA
AAMP	ENSG00000127837	HGNC:18	14	Q13685	603488
AANAT	ENSG00000129673	HGNC:19	15	Q16613	600950
AAR2	ENSG00000131043	HGNC:15886	25980	Q9Y312	617365
AARD	ENSG00000205002	HGNC:33842	441376	Q4LEZ3	NA
AARS	ENSG00000090861	HGNC:20	16	P49588	601065
AARS2	ENSG00000124608	HGNC:21022	57505	Q5JTZ9	612035
AARSD1	ENSG00000266967	HGNC:28417	80755	Q9BTE6	613212
AASDH	ENSG00000157426	HGNC:23993	132949	Q4L235	614365
AASDHPPT	ENSG00000149313	HGNC:14235	60496	Q9NRN7	607756
AASS	ENSG00000008311	HGNC:17366	10157	Q9UDR5	605113
AATF	ENSG00000275700	HGNC:19235	26574	Q9NY61	608463
AATK	ENSG00000181409	HGNC:21	9625	Q6ZMQ8	605276
ABAT	ENSG00000183044	HGNC:23	18	P80404	137150
ABCA1	ENSG00000165029	HGNC:29	19	O95477	600046
ABCA10	ENSG00000154263	HGNC:30	10349	Q8WWZ4	612508
ABCA12	ENSG00000144452	HGNC:14637	26154	Q86UK0	607800
ABCA13	ENSG00000179869	HGNC:14638	154664	Q86UQ4	607807
ABCA2	ENSG00000107331	HGNC:32	20	Q9BZC7	600047
ABCA3	ENSG00000167972	HGNC:33	21	Q99758	601615
ABCA4	ENSG00000198691	HGNC:34	24	P78363	601691
ABCA5	ENSG00000154265	HGNC:35	23461	Q8WWZ7	612503
ABCA6	ENSG00000154262	HGNC:36	23460	Q8N139	612504
ABCA7	ENSG00000064687	HGNC:37	10347	Q8IZY2	605414
ABCA8	ENSG00000141338	HGNC:38	10351	O94911	612505
ABCA9	ENSG00000154258	HGNC:39	10350	Q8IUA7	612507
ABCB1	ENSG00000085563	HGNC:40	5243	P08183	171050
ABCB10	ENSG00000135776	HGNC:41	23456	Q9NRK6	605454
ABCB11	ENSG00000276582	HGNC:42	8647	O95342	603201
ABCB4	ENSG00000005471	HGNC:45	5244	P21439	171060
ABCB5	ENSG00000004846	HGNC:46	340273	Q2M3G0	611785
ABCB6	ENSG00000115657	HGNC:47	10058	Q9NP58	605452
ABCB7	ENSG00000131269	HGNC:48	22	O75027	300135
ABCB8	ENSG00000197150	HGNC:49	11194	Q9NUT2	605464
ABCB9	ENSG00000150967	HGNC:50	23457	Q9NP78	605453
ABCC1	ENSG00000278183	HGNC:51	4363	P33527	158343
ABCC10	ENSG00000124574	HGNC:52	89845	Q5T3U5	612509
ABCC11	ENSG00000121270	HGNC:14639	85320	Q96J66	607040
ABCC12	ENSG00000140798	HGNC:14640	94160	Q96J65	607041
ABCC2	ENSG00000023839	HGNC:53	1244	Q92887	601107
ABCC3	ENSG00000108846	HGNC:54	8714	O15438	604323
ABCC4	ENSG00000125257	HGNC:55	10257	O15439	605250
ABCC5	ENSG00000114770	HGNC:56	10057	O15440	605251
ABCC6	ENSG00000275331	HGNC:57	368	O95255	603234
ABCC8	ENSG00000006071	HGNC:59	6833	Q09428	600509
ABCC9	ENSG00000069431	HGNC:60	10060	O60706	601439
ABCD1	ENSG00000101986	HGNC:61	215	P33897	300371
ABCD2	ENSG00000173208	HGNC:66	225	Q9UBJ2	601081
ABCD3	ENSG00000117528	HGNC:67	5825	P28288	170995
ABCD4	ENSG00000119688	HGNC:68	5826	O14678	603214
ABCE1	ENSG00000164163	HGNC:69	6059	P61221	601213
ABCF1	ENSG00000236149	HGNC:70	23	Q8NE71	603429
ABCF2	ENSG00000033050	HGNC:71	10061	Q9UG63	612510
ABCF3	ENSG00000161204	HGNC:72	55324	Q9NUQ8	NA
ABCG1	ENSG00000160179	HGNC:73	9619	P45844	603076
ABCG2	ENSG00000118777	HGNC:74	9429	Q9UNQ0	603756
ABCG4	ENSG00000172350	HGNC:13884	64137	Q9H172	NA
ABCG5	ENSG00000138075	HGNC:13886	64240	Q9H222	605459
ABCG8	ENSG00000143921	HGNC:13887	64241	Q9H221	605460
ABHD1	ENSG00000143994	HGNC:17553	84696	Q96SE0	612195
ABHD10	ENSG00000144827	HGNC:25656	55347	Q9NUJ1	NA
ABHD11	ENSG00000106077	HGNC:16407	83451	Q8NFV4	NA
ABHD12	ENSG00000100997	HGNC:15868	26090	Q8N2K0	613599
ABHD12B	ENSG00000131969	HGNC:19837	145447	Q7Z5M8	NA
ABHD13	ENSG00000139826	HGNC:20293	84945	Q7L211	NA
ABHD14A	ENSG00000248487	HGNC:24538	25864	Q9BUJ0	NA
ABHD14A-ACY1	ENSG00000114786	HGNC:38856	100526760	NA	NA
ABHD14B	ENSG00000114779	HGNC:28235	84836	Q96IU4	NA
ABHD15	ENSG00000168792	HGNC:26971	116236	Q6UXT9	NA
ABHD16A	ENSG00000224552	HGNC:13921	7920	O95870	142620
ABHD16B	ENSG00000183260	HGNC:16128	140701	Q9H3Z7	NA
ABHD17A	ENSG00000129968	HGNC:28756	81926	Q96GS6	NA
ABHD17B	ENSG00000107362	HGNC:24278	51104	Q5VST6	NA
ABHD17C	ENSG00000136379	HGNC:26925	58489	Q6PCB6	NA
ABHD18	ENSG00000164074	HGNC:26111	80167	Q0P651	NA
ABHD2	ENSG00000140526	HGNC:18717	11057	P08910	612196
ABHD3	ENSG00000158201	HGNC:18718	171586	Q8WU67	612197
ABHD4	ENSG00000100439	HGNC:20154	63874	Q8TB40	NA
ABHD5	ENSG00000011198	HGNC:21396	51099	Q8WTS1	604780
ABHD6	ENSG00000163686	HGNC:21398	57406	Q9BV23	616966
ABHD8	ENSG00000127220	HGNC:23759	79575	Q96I13	NA
ABI1	ENSG00000136754	HGNC:11320	10006	Q8IZP0	603050
ABI2	ENSG00000138443	HGNC:24011	10152	Q9NYB9	606442
ABI3	ENSG00000108798	HGNC:29859	51225	Q9P2A4	606363
ABI3BP	ENSG00000154175	HGNC:17265	25890	Q7Z7G0	606279
ABL1	ENSG00000097007	HGNC:76	25	P00519	189980
ABL2	ENSG00000143322	HGNC:77	27	P42684	164690
ABLIM1	ENSG00000099204	HGNC:78	3983	O14639	602330
ABLIM2	ENSG00000163995	HGNC:19195	84448	Q6H8Q1	612544
ABLIM3	ENSG00000173210	HGNC:29132	22885	O94929	611305
ABO	ENSG00000175164	HGNC:79	28	NA	110300
ABR	ENSG00000159842	HGNC:81	29	Q12979	600365
ABRA	ENSG00000174429	HGNC:30655	137735	Q8N0Z2	609747
ABRACL	ENSG00000146386	HGNC:21230	58527	Q9P1F3	NA
ABRAXAS1	ENSG00000163322	HGNC:25829	84142	Q6UWZ7	611143
ABRAXAS2	ENSG00000165660	HGNC:28975	23172	Q15018	611144
ABT1	ENSG00000146109	HGNC:17369	29777	Q9ULW3	NA
ABTB1	ENSG00000114626	HGNC:18275	80325	Q969K4	608308
ABTB2	ENSG00000166016	HGNC:23842	25841	Q8N961	NA
AC000093.1	ENSG00000284874	NA	NA	NA	NA
AC001226.2	ENSG00000283208	NA	NA	NA	NA
AC002094.3	ENSG00000273171	NA	NA	NA	NA
AC002310.4	ENSG00000260869	NA	NA	NA	NA
AC002310.5	ENSG00000261459	NA	NA	NA	NA
AC002985.1	ENSG00000268193	NA	NA	NA	NA
AC002996.1	ENSG00000257767	NA	NA	NA	NA
AC003002.1	ENSG00000268133	NA	NA	NA	NA
AC003002.2	ENSG00000268533	NA	NA	NA	NA
AC003002.3	ENSG00000269533	NA	NA	NA	NA
AC003005.1	ENSG00000268107	NA	NA	NA	NA
AC003006.1	ENSG00000269026	NA	NA	NA	NA
AC003688.1	ENSG00000262302	NA	NA	NA	NA
AC004076.1	ENSG00000268163	NA	NA	NA	NA
AC004080.3	ENSG00000257184	NA	NA	NA	NA
AC004223.3	ENSG00000267618	NA	NA	NA	NA
AC004233.2	ENSG00000270168	NA	NA	NA	NA
AC004556.1	ENSG00000276345	NA	107987373	NA	NA
AC004593.3	ENSG00000285162	NA	NA	NA	NA
AC004691.2	ENSG00000250424	NA	NA	NA	NA
AC004754.1	ENSG00000269881	NA	NA	NA	NA
AC004805.1	ENSG00000266076	NA	NA	NA	NA
AC004832.3	ENSG00000249590	NA	NA	NA	NA
AC004922.1	ENSG00000284292	NA	NA	NA	NA
AC004997.1	ENSG00000248751	NA	NA	NA	NA
AC005020.2	ENSG00000272647	NA	NA	NA	NA
AC005041.1	ENSG00000159239	NA	NA	NA	NA
AC005154.6	ENSG00000281039	NA	NA	NA	NA
AC005258.1	ENSG00000273734	NA	NA	NA	NA
AC005324.3	ENSG00000251537	NA	NA	NA	NA
AC005324.4	ENSG00000255104	NA	NA	NA	NA
AC005520.1	ENSG00000258653	NA	NA	NA	NA
AC005551.1	ENSG00000284638	NA	NA	NA	NA
AC005670.2	ENSG00000262633	NA	NA	NA	NA
AC005697.1	ENSG00000266202	NA	NA	NA	NA
AC005702.1	ENSG00000267318	NA	NA	NA	NA
AC005726.1	ENSG00000258472	NA	NA	NA	NA
AC005779.2	ENSG00000267545	NA	NA	NA	NA
AC005832.4	ENSG00000272921	NA	NA	NA	NA
AC005833.2	ENSG00000255639	NA	NA	NA	NA
AC005837.2	ENSG00000267168	NA	NA	NA	NA
AC005943.1	ENSG00000267059	NA	NA	NA	NA
AC006030.1	ENSG00000264324	NA	NA	NA	NA
AC006064.6	ENSG00000285238	NA	NA	NA	NA
AC006254.1	ENSG00000243696	NA	NA	NA	NA
AC006449.4	ENSG00000277005	NA	NA	NA	NA
AC006486.1	ENSG00000268643	NA	NA	NA	NA
AC006518.7	ENSG00000284826	NA	NA	NA	NA
AC006518.8	ENSG00000285332	NA	NA	NA	NA
AC006538.2	ENSG00000267001	NA	NA	NA	NA
AC006978.2	ENSG00000281593	NA	NA	NA	NA
AC007040.2	ENSG00000258881	NA	NA	NA	NA
AC007192.1	ENSG00000268173	NA	NA	NA	NA
AC007240.1	ENSG00000284681	NA	NA	NA	NA
AC007325.1	ENSG00000276017	NA	NA	NA	NA
AC007325.2	ENSG00000277196	NA	102724788	NA	NA
AC007325.4	ENSG00000278817	NA	102724770	NA	NA
AC007326.5	ENSG00000283809	NA	NA	NA	NA
AC007375.2	ENSG00000259164	NA	NA	NA	NA
AC007383.8	ENSG00000283995	NA	NA	NA	NA
AC007537.5	ENSG00000284335	NA	NA	NA	NA
AC007731.5	ENSG00000277971	NA	NA	NA	NA
AC007846.2	ENSG00000285471	NA	NA	NA	NA
AC007906.2	ENSG00000277639	NA	NA	NA	NA
AC007998.2	ENSG00000267140	NA	NA	NA	NA
AC008073.3	ENSG00000276087	NA	NA	NA	NA
AC008162.2	ENSG00000278646	NA	NA	NA	NA
AC008393.2	ENSG00000284099	NA	NA	NA	NA
AC008397.1	ENSG00000284797	NA	NA	NA	NA
AC008397.2	ENSG00000285188	NA	5143	Q08493	NA
AC008403.1	ENSG00000268465	NA	NA	NA	NA
AC008481.3	ENSG00000267477	NA	NA	NA	NA
AC008537.1	ENSG00000268797	NA	NA	NA	NA
AC008560.1	ENSG00000253251	NA	NA	Q6ZNX1	NA
AC008575.1	ENSG00000258864	NA	NA	NA	NA
AC008581.2	ENSG00000285000	NA	NA	NA	NA
AC008687.1	ENSG00000267335	NA	NA	NA	NA
